Cycle,GRF
0,18.399
0,15.338
0,12.231
0,9.125
0,6.149
0,3.466
0,1.225
0,-0.467
0,-1.569
0,-2.107
0,-2.165
0,-1.864
0,-1.343
0,-0.737
0,-0.160
0,0.305
0,0.615
0,0.756
0,0.747
0,0.623
0,0.430
0,0.214
0,0.013
0,-0.145
0,-0.245
0,-0.285
0,-0.272
0,-0.220
0,-0.145
0,-0.065
0,0.007
0,0.063
0,0.096
0,0.107
0,0.099
0,0.078
0,0.049
0,0.019
0,-0.007
0,-0.027
0,-0.038
0,-0.040
0,-0.035
0,-0.026
0,-0.014
0,-0.003
0,0.007
0,0.013
0,0.016
0,0.015
0,0.011
0,0.005
0,-0.001
0,-0.007
0,-0.011
0,-0.012
0,-0.011
0,-0.006
0,0.001
0,0.009
0,0.017
0,0.023
0,0.025
0,0.023
0,0.015
0,0.001
0,-0.016
0,-0.035
0,-0.052
0,-0.063
0,-0.065
0,-0.055
0,-0.030
0,0.007
0,0.054
0,0.104
0,0.147
0,0.173
0,0.173
0,0.138
0,0.066
0,-0.040
0,-0.168
0,-0.300
0,-0.411
0,-0.473
0,-0.458
0,-0.349
0,-0.139
0,0.158
0,0.510
0,0.862
0,1.144
0,1.282
0,1.206
0,0.870
0,0.266
0,-0.563
0,-1.518
0,-2.445
0,-3.153
0,-3.437
0,-3.121
0,-2.095
0,-0.359
0,1.945
0,4.517
0,6.917
0,8.609
0,9.037
0,7.734
0,4.439
0,-0.783
0,-7.452
0,-14.629
0,-20.946
0,-24.708
0,-24.081
0,-17.339
0,-3.136
0,19.230
4,49.626
4,87.008
4,129.490
4,174.556
4,219.400
4,261.329
4,298.141
4,328.426
4,351.712
4,368.463
4,379.913
4,387.809
4,394.094
4,400.602
4,408.803
4,419.638
4,433.466
4,450.092
4,468.897
4,488.993
4,509.405
4,529.223
4,547.718
4,564.397
4,579.022
4,591.571
4,602.188
4,611.118
4,618.646
4,625.048
4,630.555
4,635.343
4,639.521
4,643.146
4,646.226
4,648.744
4,650.661
4,651.934
4,652.523
4,652.394
4,651.528
4,649.920
4,647.586
4,644.554
4,640.871
4,636.596
4,631.795
4,626.543
4,620.914
4,614.980
4,608.807
4,602.455
4,595.973
4,589.398
4,582.757
4,576.071
4,569.350
4,562.605
4,555.842
4,549.074
4,542.314
4,535.582
4,528.901
4,522.302
4,515.813
4,509.465
4,503.287
4,497.301
4,491.527
4,485.973
4,480.640
4,475.522
4,470.604
4,465.866
4,461.289
4,456.855
4,452.556
4,448.394
4,444.384
4,440.556
4,436.947
4,433.604
4,430.573
4,427.897
4,425.609
4,423.735
4,422.284
4,421.256
4,420.638
4,420.411
4,420.549
4,421.026
4,421.821
4,422.915
4,424.298
4,425.968
4,427.929
4,430.194
4,432.777
4,435.696
4,438.966
4,442.603
4,446.618
4,451.021
4,455.820
4,461.022
4,466.630
4,472.650
4,479.082
